trajectory_id,frame,full_instruction_ref,current_step_index,current_step_text,transition_event,full_condition,current_condition,hold_condition,steps_since_transition,cumulative_transition_count
study_table/case47,0,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,Pick up the cream cheese from the study table,0,0
study_table/case47,1,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],1,0
study_table/case47,2,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],2,0
study_table/case47,3,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],3,0
study_table/case47,4,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],4,0
study_table/case47,5,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],5,0
study_table/case47,6,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],6,0
study_table/case47,7,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],7,0
study_table/case47,8,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],8,0
study_table/case47,9,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],9,0
study_table/case47,10,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],10,0
study_table/case47,11,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],11,0
study_table/case47,12,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],12,0
study_table/case47,13,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],13,0
study_table/case47,14,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],14,0
study_table/case47,15,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],15,0
study_table/case47,16,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],16,0
study_table/case47,17,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],17,0
study_table/case47,18,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],18,0
study_table/case47,19,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],19,0
study_table/case47,20,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],20,0
study_table/case47,21,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],21,0
study_table/case47,22,study_table/case47,0,Pick up the cream cheese from the study table,0,"The task involves preparing a serving of cream cheese by picking it up from the study table, carrying it, and placing it onto a plate.",Pick up the cream cheese from the study table,[HOLD],22,0
