task_name,upstream_source,registered_at_upstream_commit,present_in_released_composite_dataset,full_instruction,semantic_stage_count,semantic_stages,raw_expert_skill_count,continuous_expert_rollout,boundary_level_in_released_data,dependency,rollout_success_check,qualified_4_to_6,exclusion_reason
cluster_billiards,cluster_billiards,true,true,"Cluster the objects into two classes.",4,"place ball A in class bin; place ball B in class bin; place ball C in other bin; place ball D in other bin",13,true,5,LOW,final grouped containment,false,"no level 1-3 boundary; placements are order-insensitive"
cluster_book,cluster_book,true,false,"Cluster the objects into two classes.",4,"place book A; place book B; place book C; place book D",16,true,5,LOW,final grouped containment,false,"no released demonstrations and no level 1-3 boundary"
cluster_drink,cluster_drink,true,true,"Cluster the objects into two classes.",4,"place drink A; place drink B; place drink C; place drink D",13,true,5,LOW,final grouped containment,false,"no level 1-3 boundary; placements are order-insensitive"
cluster_toy,cluster_toy,true,true,"Cluster the objects into two classes.",4,"place toy A; place toy B; place toy C; place toy D",13,true,5,LOW,final grouped containment,false,"no level 1-3 boundary; placements are order-insensitive"
cook_dishes,cook_dishes,true,false,"Cook the requested dish.",3,"place ingredient 1; place ingredient 2; activate cookware",9,true,5,MEDIUM,final condition,false,"fewer than 4 stages and no released demonstrations"
cool_drink,cool_drink,true,false,"Cool the drink.",0,"expert sequence unimplemented",0,false,5,UNKNOWN,final condition,false,"get_expert_skill_sequence is pass"
find_unseen_object,find_unseen_object,true,false,"Find the unseen object.",0,"expert sequence unimplemented",0,false,5,UNKNOWN,final condition,false,"no implemented expert sequence"
get_coffee,get_coffee,true,true,"Get a cup of coffee.",2,"insert cup; activate machine and wait",8,true,5,HIGH,final machine/cup condition,false,"fewer than 4 stages and no level 1-3 boundary"
hammer_nail,hammer_nail,false,false,"Hammer the nail.",0,"surface name has no exact upstream registration",0,false,5,UNKNOWN,unavailable,false,"LeRobot/upstream task-name mismatch"
heat_food,heat_food,true,false,"Heat the food in the microwave.",4,"open microwave; put food inside; close microwave; activate microwave",12,true,3,HIGH,final articulated/containment/active predicates,false,"no released demonstrations; predicate trace absent from released data"
make_juice,make_juice,true,false,"Make juice.",0,"expert sequence unimplemented",0,false,5,UNKNOWN,final condition,false,"no implemented expert sequence"
play_mahjong,play_mahjong,true,false,"Play mahjong.",0,"expert sequence unimplemented",0,false,5,UNKNOWN,final condition,false,"no implemented expert sequence"
play_math_game,play_math_game,true,true,"Solve the displayed arithmetic problem.",3,"place digit 1; place digit 2; place digit 3",6,true,5,LOW,final digit placement,false,"1-3 variable stages; most variants below four; no boundary field"
play_poker,texas_holdem,false,true,"Play Texas hold'em.",0,"surface name has no exact upstream registration",0,false,5,UNKNOWN,unavailable,false,"LeRobot name play_poker mismatches released/source texas_holdem"
play_snooker,play_snooker,true,false,"Play snooker.",2,"aim cue; strike target",6,true,5,MEDIUM,final condition,false,"fewer than 4 stages and no released demonstrations"
rearrange_book,book_rearrange,false,true,"Rearrange the books on the shelf.",3,"place book 1; place book 2; place book 3",12,false,5,LOW,unavailable,false,"surface/source alias mismatch; fewer than 4 stages"
rearrange_chemistry_tube,rearrange_tube,false,true,"Rearrange the chemistry tubes.",3,"place tube 1; place tube 2; place tube 3",9,false,5,LOW,unavailable,false,"surface/source alias mismatch; fewer than 4 stages"
set_dining_table,set_dining_table,true,false,"Set the dining table.",2,"place utensil 1; place utensil 2",8,true,5,LOW,final containment,false,"fewer than 4 stages and no released demonstrations"
set_study_table,set_study_table,true,true,"Set the study table.",2,"place object 1; place object 2",7,true,5,LOW,final containment,false,"fewer than 4 stages and no boundary field"
store_food,store_food,true,false,"Store the food.",0,"expert sequence unimplemented",0,false,5,UNKNOWN,final condition,false,"no implemented expert sequence"
take_chemistry_experiment,take_chemistry_experiment,true,false,"Perform the chemistry experiment.",4,"pour reagent A; return A above source; pour reagent B; return B above source",20,true,3,HIGH,ordered asynchronous predicate sequence,false,"no released demonstrations; predicate trace absent from released data"
use_seesaw_complex,complex_seesaw_use,false,false,"Use the seesaw.",0,"surface name has no exact upstream registration",0,false,5,UNKNOWN,unavailable,false,"LeRobot/upstream task-name mismatch"
plug_cord_and_heat_food,plug_cord_and_heat_food,true,false,"Please plug the cord and heat the selected food from its container.",5,"plug appliance; open microwave; put food inside; close microwave; activate microwave",15,true,3,HIGH,final articulated/containment/active predicates,false,"upstream-only; no released demonstrations or predicate trace"
complex_seesaw_use,complex_seesaw_use,true,false,"Use the seesaw.",2,"place counterweight; use raised side",unknown,true,5,HIGH,final condition,false,"upstream name exists but LeRobot alias does not; fewer than 4 stages"
hammer_loose_nail,hammer_loose_nail,true,false,"There is a loose nail on the wall, strengthen it.",1,"hammer nail",unknown,true,5,LOW,final nail condition,false,"upstream-only; fewer than 4 stages"
assemble_hammer,assemble_hammer,true,false,"Assemble the hammer by attaching its head to its handle.",1,"attach hammer head",unknown,true,5,LOW,final attachment condition,false,"upstream-only; fewer than 4 stages"
hammer_nail_and_hang_picture,hammer_nail_and_hang_picture,true,true,"Please hang the selected painting on the wall safely and steadily.",2,"hammer nail; hang picture",11,true,5,HIGH,final hanging condition,false,"released under source name but only 2 semantic goals and no boundary field"
set_dining_left_hand,set_dining_left_hand,true,false,"Set the dining table.",2,"place left utensil; place right utensil",8,true,5,LOW,final order predicate,false,"upstream-only; fewer than 4 stages"
set_dining_chopstick,set_dining_chopstick,true,false,"Set the dining table.",2,"place plate; place chopsticks",8,true,5,LOW,final order predicate,false,"upstream-only; fewer than 4 stages"
set_dining_chopstick_left_hand,set_dining_chopstick_left_hand,true,false,"Set the dining table.",2,"place chopsticks; place plate",8,true,5,LOW,final order predicate,false,"upstream-only; fewer than 4 stages"
take_out_cool_drink,take_out_cool_drink,true,false,"Take the cool drink out of the refrigerator.",4,"open refrigerator; remove drink; place drink on table; close refrigerator",14,true,3,HIGH,final drink/fridge condition,false,"upstream-only; no released demonstrations or state trace"
get_coffee_with_sugar,get_coffee_with_sugar,true,false,"Get me a cup of coffee with sugar.",3,"insert cup; add sugar; activate machine",unknown,true,5,HIGH,final condition,false,"upstream-only; fewer than 4 stages"
