task_id,demo_id,T,category,final_official_on_run,last_release_command,last_grasp_contact,reason
4,demo_1,286,unreleased_and_terminal_predicate_false,283-284,126,285,"No second-object release command; bilateral grasp persists and On is false at t=285"
4,demo_6,265,insufficient_post_release_horizon,254-264,260,261,"Only t=262-264 remain after final grasp contact"
4,demo_7,264,short_terminal_stability,260-263,258,255,"Final official On run has four frames"
4,demo_11,277,release_after_predicate_regression,266-275,276,272,"Release command begins at last state where official On is already false"
4,demo_12,253,insufficient_post_release_horizon,242-252,249,250,"Only t=251-252 remain after final grasp contact"
4,demo_13,238,short_terminal_stability,235-237,233,226,"Final official On run has three frames"
4,demo_16,237,insufficient_post_release_horizon,226-236,231,232,"Only t=233-236 remain after final grasp contact"
4,demo_24,244,insufficient_post_release_horizon,233-243,239,239,"Only t=240-243 remain after final grasp contact"
4,demo_28,233,insufficient_post_release_horizon,222-232,227,228,"Only t=229-232 remain after final grasp contact"
4,demo_34,254,unreleased_terminal_grasp,243-253,117,253,"No second-object release command; bilateral grasp persists through terminal state"
4,demo_35,260,unreleased_terminal_grasp,250-259,111,259,"No second-object release command; bilateral grasp persists through terminal state"
4,demo_38,225,insufficient_post_release_horizon,214-224,221,222,"Only t=223-224 remain after final grasp contact"
4,demo_46,233,insufficient_post_release_horizon,222-232,229,229,"Only t=230-232 remain after final grasp contact"
