trajectory_id,scene,case,source_path,source_relative_path,visual_relative_path,full_instruction,num_frames,num_steps,boundary_start_ok,boundary_contiguous,positive_intervals,terminal_match,step_text_count_match,hdf5_readable,state_action_length_match,state_time_monotonic,robot_qpos_prefix_verified,annotation_valid,invalid_reason,source_sha256,state_width,state_dtype,action_dim,action_dtype
coffee_table/case1,coffee_table,case1,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case1/demo.hdf5,RoboCerebra_trainset/coffee_table/case1/demo.hdf5,RoboCerebra_trainset/coffee_table/case1/case1.mp4,"Arrange a plate, red coffee mug, Chefmate 8 frypan, and wine bottle from the coffee table onto designated storage surfaces including a wooden two-layer shelf, wine rack, and bowl drainer for organized display.",5504,8,True,True,True,False,True,True,True,True,True,False,terminal_mismatch;frame_assignment_not_exact,93e8e3446fac06befdaf0ec095b9f528b2e106d68112d968fce1cf9481c0f9e2,84,float64,7,float64
coffee_table/case2,coffee_table,case2,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case2/demo.hdf5,RoboCerebra_trainset/coffee_table/case2/demo.hdf5,RoboCerebra_trainset/coffee_table/case2/case2.mp4,"Organize kitchen items by storing cream cheese and butter in specific regions of the short cabinet, and prepare beverages by pouring milk into a red coffee mug and wine into a porcelain mug.",3739,11,True,True,True,True,True,True,True,True,True,True,,5d5f83d46136d73affb67838f2d3f1348eb620cb141b62c219dd8c41acc5cb2b,116,float64,7,float64
coffee_table/case3,coffee_table,case3,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case3/demo.hdf5,RoboCerebra_trainset/coffee_table/case3/demo.hdf5,RoboCerebra_trainset/coffee_table/case3/case3.mp4,"The task involves controlling a robotic arm to interact with objects including a wooden cabinet, chocolate pudding, milk, a porcelain mug, a red coffee mug, and barbecue sauce to transfer, pour, and rearrange items for organization and serving purposes.",2513,9,True,True,True,True,True,True,True,True,True,True,,137e41bdb9b9013703ac1af07eed9ee646cf24a19a2a8eb191312cffab4e26fd,103,float64,7,float64
coffee_table/case4,coffee_table,case4,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case4/demo.hdf5,RoboCerebra_trainset/coffee_table/case4/demo.hdf5,RoboCerebra_trainset/coffee_table/case4/case4.mp4,"Organize cooking ingredients (butter, bbq_sauce, wine_bottle) and utensils (chefmate_8_frypan, red_coffee_mug) by transferring them between designated storage areas (white_cabinet, coffee_table), prepare them for use on the flat_stove, and perform preliminary cooking setup for a simple meal.",4370,12,True,True,True,True,True,True,True,True,True,True,,a35dcad3760d728f1f2f65185f54417a8c6871c5cac23a01d5cba534ebb3a73b,105,float64,7,float64
coffee_table/case5,coffee_table,case5,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case5/demo.hdf5,RoboCerebra_trainset/coffee_table/case5/demo.hdf5,RoboCerebra_trainset/coffee_table/case5/case5.mp4,"Arrange a beverage and snack serving area by transferring the red_coffee_mug, wine_bottle, white_bowl, and popcorn from the coffee_table to the rack, pouring wine into the red_coffee_mug, and placing popcorn into the white_bowl for serving.",3628,9,True,True,True,True,True,True,True,True,True,True,,05e83b2e558fd15a7f20a1fda6c0b7291d2ff6f85a66464ca633b92dadd5ef00,97,float64,7,float64
coffee_table/case6,coffee_table,case6,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case6/demo.hdf5,RoboCerebra_trainset/coffee_table/case6/demo.hdf5,RoboCerebra_trainset/coffee_table/case6/case6.mp4,"Combine cream cheese, tomato sauce, and BBQ sauce in an akita_black_bowl from the coffee_table, then transfer the mixture onto a plate to create a creamy sauce dip.",3535,12,True,True,True,True,True,True,True,True,True,True,,aa0b6ccc5586f7abf57677d83fc20a6bd1d37fe8e0e3d23be7d08e9865e7c20f,97,float64,7,float64
coffee_table/case7,coffee_table,case7,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case7/demo.hdf5,RoboCerebra_trainset/coffee_table/case7/demo.hdf5,RoboCerebra_trainset/coffee_table/case7/case7.mp4,"Organize the kitchen by opening the white cabinet, placing a white bowl with popcorn inside, pouring out wine from a wine bottle before placing it on the counter, and storing a frypan on the rack.",5384,11,True,True,True,True,True,True,True,True,True,True,,d22cf8afe4eec8ef44094e24f5c04cea8f9c933479c1078c115bda849781dde5,103,float64,7,float64
coffee_table/case8,coffee_table,case8,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case8/demo.hdf5,RoboCerebra_trainset/coffee_table/case8/demo.hdf5,RoboCerebra_trainset/coffee_table/case8/case8.mp4,"Organize kitchen items by interacting with the wooden_cabinet, coffee_table, and white_storage_box, while preparing a heated tomato sauce beverage using a white_yellow_mug and microwave.",5065,7,True,True,True,True,True,True,True,True,True,True,,c656c2640241523bee29f99f2483574cd6f6ce85d91459e33ffefb1b7214dd53,94,float64,7,float64
coffee_table/case9,coffee_table,case9,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case9/demo.hdf5,RoboCerebra_trainset/coffee_table/case9/demo.hdf5,RoboCerebra_trainset/coffee_table/case9/case9.mp4,"The task involves reorganizing kitchen items by transferring the salad_dressing, wine_bottle, red_coffee_mug, and chefmate_8_frypan from the coffee_table to designated storage locations (white_cabinet, wine_rack, and rack) and handling liquid by pouring it out from the wine_bottle.",5461,11,True,True,True,True,True,True,True,True,True,True,,bb563534d1846954db2ce66fef6ece4c30964c23272cb16f8b78e99a38eaac52,103,float64,7,float64
coffee_table/case10,coffee_table,case10,/ssd1/itaein/datasets/RoboCerebra/RoboCerebra_trainset/coffee_table/case10/demo.hdf5,RoboCerebra_trainset/coffee_table/case10/demo.hdf5,RoboCerebra_trainset/coffee_table/case10/case10.mp4,"The task involves preparing and organizing snacks by using a short cabinet, coffee table, white bowl, wine rack, and various items like salad dressing, popcorn, and a wine bottle, to pour contents into the bowl and store objects appropriately.",5015,11,True,True,True,True,True,True,True,True,True,True,,852464c002474490b5af3e74014ffb821329ab02591f11dfd38172b741fe0916,90,float64,7,float64
